Model,Type,MSE,MAE,R2 Score,Accuracy,Precision,Recall,F1 Score
Exhaustion Model,Regression,0.005960165600753047,0.017616981059405904,0.9180778916546819,,,,
Injury Model,Classification,,,,0.981591263650546,0.9384449244060475,0.9977037887485649,0.9671675013912076
L_ANKLE_injury_risk,Classification,,,,0.8720748829953198,0.8544520547945206,0.6055825242718447,0.7088068181818182
R_ANKLE_injury_risk,Classification,,,,0.870826833073323,0.761129207383279,0.7832402234636872,0.7720264317180616
L_WRIST_injury_risk,Classification,,,,0.9741029641185648,0.9441964285714286,0.962457337883959,0.9532394366197183
R_WRIST_injury_risk,Classification,,,,0.9753510140405616,0.950517836593786,0.9582366589327146,0.9543616406701328
L_ELBOW_injury_risk,Classification,,,,0.9672386895475819,0.9151376146788991,0.962605548854041,0.9382716049382716
R_ELBOW_injury_risk,Classification,,,,0.9619344773790952,0.8924050632911392,0.976905311778291,0.9327453142227122
L_KNEE_injury_risk,Classification,,,,0.9410296411856475,0.8615560640732265,0.9171741778319124,0.8884955752212389
R_KNEE_injury_risk,Classification,,,,0.9472698907956318,0.8664627930682977,0.9572072072072072,0.9095773140716961
L_HIP_injury_risk,Classification,,,,0.9422776911076443,0.851063829787234,0.9467455621301775,0.896358543417367
R_HIP_injury_risk,Classification,,,,0.9556942277691107,0.890295358649789,0.9569160997732427,0.9224043715846995
