Model,Type,MSE,MAE,R2 Score,Accuracy,Precision,Recall,F1 Score
Exhaustion Model,Regression,0.004560289249556165,0.02524743738427024,0.678347116568087,,,,
Injury Model,Classification,,,,0.8729729729729729,0.8703703703703703,0.9825783972125436,0.9230769230769231
L_ANKLE_injury_risk,Classification,,,,0.8216216216216217,0.9466666666666667,0.5338345864661654,0.6826923076923077
R_ANKLE_injury_risk,Classification,,,,0.8378378378378378,0.7982062780269058,0.9222797927461139,0.8557692307692307
L_WRIST_injury_risk,Classification,,,,0.8567567567567568,0.8603988603988604,0.9869281045751634,0.9193302891933028
R_WRIST_injury_risk,Classification,,,,0.8513513513513513,0.8450704225352113,1.0,0.916030534351145
L_ELBOW_injury_risk,Classification,,,,0.7756756756756756,0.7624633431085044,0.9923664122137404,0.8623548922056384
R_ELBOW_injury_risk,Classification,,,,0.8513513513513513,0.8640776699029126,0.9535714285714286,0.9066213921901528
L_KNEE_injury_risk,Classification,,,,0.8135135135135135,0.7777777777777778,0.9781659388646288,0.8665377176015474
R_KNEE_injury_risk,Classification,,,,0.8432432432432433,0.8040816326530612,0.9516908212560387,0.8716814159292036
L_HIP_injury_risk,Classification,,,,0.6756756756756757,0.7524271844660194,0.6919642857142857,0.7209302325581395
R_HIP_injury_risk,Classification,,,,0.7972972972972973,0.9226190476190477,0.7142857142857143,0.8051948051948052
