Model,Type,MSE,MAE,R2 Score,Accuracy,Precision,Recall,F1 Score
Exhaustion Model,Regression,0.009076409635745864,0.04284661109294487,0.6941813440998402,,,,
Injury Model,Classification,,,,0.8756388415672913,0.8035714285714286,0.7714285714285715,0.7871720116618076
L_ANKLE_injury_risk,Classification,,,,0.7700170357751278,0.5785123966942148,0.45454545454545453,0.509090909090909
R_ANKLE_injury_risk,Classification,,,,0.8415672913117547,0.706766917293233,0.6351351351351351,0.6690391459074733
L_WRIST_injury_risk,Classification,,,,0.8517887563884157,0.6976744186046512,0.7741935483870968,0.7339449541284404
R_WRIST_injury_risk,Classification,,,,0.8449744463373083,0.6540284360189573,0.8846153846153846,0.7520435967302452
L_ELBOW_injury_risk,Classification,,,,0.8143100511073254,0.9818181818181818,0.3333333333333333,0.4976958525345622
R_ELBOW_injury_risk,Classification,,,,0.919931856899489,0.917910447761194,0.7735849056603774,0.8395904436860068
L_KNEE_injury_risk,Classification,,,,0.858603066439523,0.9473684210526315,0.40298507462686567,0.5654450261780105
R_KNEE_injury_risk,Classification,,,,0.817717206132879,0.6824324324324325,0.6273291925465838,0.6537216828478964
L_HIP_injury_risk,Classification,,,,0.8449744463373083,0.9558823529411765,0.42483660130718953,0.5882352941176471
R_HIP_injury_risk,Classification,,,,0.8517887563884157,0.875,0.5730994152046783,0.6925795053003534
L_ANKLE_energy_by_trial_exhaustion_score,Regression,0.07866195160733316,0.20704388295461987,-1.9794007316917672,,,,
R_ANKLE_energy_by_trial_exhaustion_score,Regression,0.10036497362294819,0.2236464524391589,-3.2135847609952153,,,,
L_WRIST_energy_by_trial_exhaustion_score,Regression,0.025290973289196095,0.12094758422376052,0.1405767382796297,,,,
R_WRIST_energy_by_trial_exhaustion_score,Regression,0.03334933769934719,0.12825282474286515,-0.07050019697686927,,,,
L_ELBOW_energy_by_trial_exhaustion_score,Regression,0.14795455014165906,0.23603954717041964,-3.341272408528548,,,,
R_ELBOW_energy_by_trial_exhaustion_score,Regression,0.07628805987702557,0.19124439720370873,-1.0430838329491183,,,,
L_KNEE_energy_by_trial_exhaustion_score,Regression,0.01872060996010538,0.10172587870459028,0.3293946549308002,,,,
R_KNEE_energy_by_trial_exhaustion_score,Regression,0.059255418150408704,0.18056206772675906,-0.8396234648314462,,,,
L_HIP_energy_by_trial_exhaustion_score,Regression,0.06232290719696228,0.19325256520943998,-1.0784472297209304,,,,
R_HIP_energy_by_trial_exhaustion_score,Regression,0.12514253721888918,0.285563706037761,-3.176013788931307,,,,
