iter	Logloss
0	0.6759531687
1	0.6621855628
2	0.6496812134
3	0.6366621823
4	0.6210747179
5	0.6096813999
6	0.596790233
7	0.5855509741
8	0.5742646267
9	0.5616353877
10	0.5495896034
11	0.5398493704
12	0.5264686848
13	0.5167466148
14	0.506581639
15	0.4968956854
16	0.4858219576
17	0.4786550668
18	0.4688303347
19	0.4591097566
20	0.4510113619
21	0.4425701343
2	0.4393850252223	0.4302287116
24	0.4232081127
25	0.4165656725
26	0.409749984
27	0.4029799898
28	0.3964015794
29	0.3898732114
30	0.384215576
31	0.3783781278
32	0.3728297883
33	0.3676598778
34	0.3624593038
35	0.3580224234
36	0.3524195473
37	0.3466228536
38	0.3421308374
39	0.3371577051
40	0.3325811233
41	0.3270263282
42	0.3225036127443	0.3173148012444	0.3129868601445	0.3076175681446	0.30333397747	0.2956448034
48	0.2919779245
49	0.2889255743
50	0.2851150141
51	0.2807258229
52	0.2774754841
53	0.2727783927
54	0.2686307597
55	0.2658644987
56	0.2631367027
57	0.2595453951
58	0.2557873092
59	0.2519720842
60	0.2494827794
61	0.245726591
62	0.2428895108
63	0.2400442122
64	0.2379865943
65	0.2353638165
66	0.2326493272
67	0.230141708
68	0.2282571598
69	0.2250466805
70	0.2223812496
71	0.2199439437
72	0.2178905097
73	0.2153683026
74	0.2134905842
75	0.2114333513
76	0.2092477139
77	0.206998766
78	0.2055207038
79	0.2032401443
80	0.2014303436
81	0.1989043697
82	0.1971463176
83	0.1953818059
84	0.1934282434
85	0.1920943344
86	0.190224717
87	0.188235008
88	0.1855133034
