iter	Passed	Remaining
0	143	32346
1	152	17047
2	160	11896
3	167	9299
4	175	7772
5	183	6717
6	190	5956
7	198	5408
8	206	4975
9	213	4622
10	222	4343
11	230	4107
12	238	3909
13	246	3731
14	247	3480
15	255	3355
16	263	3235
17	269	3118
18	277	3020
19	284	2933
20	292	2853
21	299	2775
22	293	2586
23	302	2542
24	310	2498
25	318	2449
26	326	2403
27	333	2354
28	339	2304
29	345	2259
30	351	2212
31	358	2173
32	365	2138
33	372	2103
34	379	2069
35	385	2036
36	393	2008
37	400	1981
38	407	1952
39	414	1925
40	421	1901
41	427	1874
42	434	1847
43	437	1809
44	443	1784
45	449	1760
46	456	1738
47	459	1703
48	466	1684
49	473	1667
50	480	1649
51	487	1632
52	493	1612
53	496	1581
54	502	1562
55	508	1544
56	510	1512
57	516	1495
58	522	1479
59	528	1461
60	534	1444
61	539	1427
62	545	1411
63	551	1395
64	557	1380
65	563	1366
66	569	1351
67	574	1335
68	580	1321
69	586	1308
70	592	1293
71	596	1275
72	602	1262
73	607	1248
74	613	1235
75	619	1222
76	625	1210
77	631	1197
78	637	1185
79	644	1177
80	652	1167
81	659	1157
82	666	1147
83	672	1137
84	679	1126
85	679	1106
86	685	1095
87	691	1084
88	697	1074
