trial_id,result,landing_x,landing_y,entry_angle,frame_time,ball_x,ball_y,ball_z,R_EYE_x,R_EYE_y,R_EYE_z,L_EYE_x,L_EYE_y,L_EYE_z,NOSE_x,NOSE_y,NOSE_z,R_EAR_x,R_EAR_y,R_EAR_z,L_EAR_x,L_EAR_y,L_EAR_z,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,R_WRIST_x,R_WRIST_y,R_WRIST_z,L_WRIST_x,L_WRIST_y,L_WRIST_z,R_HIP_x,R_HIP_y,R_HIP_z,L_HIP_x,L_HIP_y,L_HIP_z,R_KNEE_x,R_KNEE_y,R_KNEE_z,L_KNEE_x,L_KNEE_y,L_KNEE_z,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,R_1STFINGER_x,R_1STFINGER_y,R_1STFINGER_z,R_5THFINGER_x,R_5THFINGER_y,R_5THFINGER_z,L_1STFINGER_x,L_1STFINGER_y,L_1STFINGER_z,L_5THFINGER_x,L_5THFINGER_y,L_5THFINGER_z,R_1STTOE_x,R_1STTOE_y,R_1STTOE_z,R_5THTOE_x,R_5THTOE_y,R_5THTOE_z,L_1STTOE_x,L_1STTOE_y,L_1STTOE_z,L_5THTOE_x,L_5THTOE_y,L_5THTOE_z,R_CALC_x,R_CALC_y,R_CALC_z,L_CALC_x,L_CALC_y,L_CALC_z,ball_speed,ball_velocity_x,ball_velocity_y,ball_velocity_z,overall_ball_velocity,ball_direction_x,ball_direction_y,ball_direction_z,computed_ball_velocity_x,computed_ball_velocity_y,computed_ball_velocity_z,dist_ball_R_1STFINGER,dist_ball_R_5THFINGER,dist_ball_L_1STFINGER,dist_ball_L_5THFINGER,ball_in_hands,shooting_motion,avg_shoulder_height,release_point_filter,dt,dx,dy,dz,L_ANKLE_ongoing_power,R_ANKLE_ongoing_power,L_KNEE_ongoing_power,R_KNEE_ongoing_power,L_HIP_ongoing_power,R_HIP_ongoing_power,L_ELBOW_ongoing_power,R_ELBOW_ongoing_power,L_WRIST_ongoing_power,R_WRIST_ongoing_power,L_1STFINGER_ongoing_power,L_5THFINGER_ongoing_power,R_1STFINGER_ongoing_power,R_5THFINGER_ongoing_power,elbow_angle,wrist_angle,knee_angle,player_height_in_meters,player_height_ft,initial_release_angle,calculated_release_angle,angle_difference,distance_to_basket,optimal_release_angle,by_trial_time,continuous_frame_time,L_ANKLE_energy,R_ANKLE_energy,L_KNEE_energy,R_KNEE_energy,L_HIP_energy,R_HIP_energy,L_ELBOW_energy,R_ELBOW_energy,L_WRIST_energy,R_WRIST_energy,L_1STFINGER_energy,R_1STFINGER_energy,L_5THFINGER_energy,R_5THFINGER_energy,total_energy,by_trial_energy,by_trial_exhaustion_score,overall_cumulative_energy,overall_exhaustion_score,L_ANKLE_energy_by_trial,L_ANKLE_energy_by_trial_exhaustion_score,L_ANKLE_energy_overall_cumulative,L_ANKLE_energy_overall_exhaustion_score,R_ANKLE_energy_by_trial,R_ANKLE_energy_by_trial_exhaustion_score,R_ANKLE_energy_overall_cumulative,R_ANKLE_energy_overall_exhaustion_score,L_KNEE_energy_by_trial,L_KNEE_energy_by_trial_exhaustion_score,L_KNEE_energy_overall_cumulative,L_KNEE_energy_overall_exhaustion_score,R_KNEE_energy_by_trial,R_KNEE_energy_by_trial_exhaustion_score,R_KNEE_energy_overall_cumulative,R_KNEE_energy_overall_exhaustion_score,L_HIP_energy_by_trial,L_HIP_energy_by_trial_exhaustion_score,L_HIP_energy_overall_cumulative,L_HIP_energy_overall_exhaustion_score,R_HIP_energy_by_trial,R_HIP_energy_by_trial_exhaustion_score,R_HIP_energy_overall_cumulative,R_HIP_energy_overall_exhaustion_score,L_ELBOW_energy_by_trial,L_ELBOW_energy_by_trial_exhaustion_score,L_ELBOW_energy_overall_cumulative,L_ELBOW_energy_overall_exhaustion_score,R_ELBOW_energy_by_trial,R_ELBOW_energy_by_trial_exhaustion_score,R_ELBOW_energy_overall_cumulative,R_ELBOW_energy_overall_exhaustion_score,L_WRIST_energy_by_trial,L_WRIST_energy_by_trial_exhaustion_score,L_WRIST_energy_overall_cumulative,L_WRIST_energy_overall_exhaustion_score,R_WRIST_energy_by_trial,R_WRIST_energy_by_trial_exhaustion_score,R_WRIST_energy_overall_cumulative,R_WRIST_energy_overall_exhaustion_score,L_1STFINGER_energy_by_trial,L_1STFINGER_energy_by_trial_exhaustion_score,L_1STFINGER_energy_overall_cumulative,L_1STFINGER_energy_overall_exhaustion_score,R_1STFINGER_energy_by_trial,R_1STFINGER_energy_by_trial_exhaustion_score,R_1STFINGER_energy_overall_cumulative,R_1STFINGER_energy_overall_exhaustion_score,L_5THFINGER_energy_by_trial,L_5THFINGER_energy_by_trial_exhaustion_score,L_5THFINGER_energy_overall_cumulative,L_5THFINGER_energy_overall_exhaustion_score,R_5THFINGER_energy_by_trial,R_5THFINGER_energy_by_trial_exhaustion_score,R_5THFINGER_energy_overall_cumulative,R_5THFINGER_energy_overall_exhaustion_score,release_knee_angle,release_wrist_angle,release_elbow_angle,knee_release_angle_initial_optimal_min,knee_release_angle_initial_optimal_max,wrist_release_angle_initial_optimal_min,wrist_release_angle_initial_optimal_max,elbow_release_angle_initial_optimal_min,elbow_release_angle_initial_optimal_max,knee_release_angle_filtered_optimal_min,knee_release_angle_filtered_optimal_max,wrist_release_angle_filtered_optimal_min,wrist_release_angle_filtered_optimal_max,elbow_release_angle_filtered_optimal_min,elbow_release_angle_filtered_optimal_max,knee_release_angle_shot_classification,wrist_release_angle_shot_classification,elbow_release_angle_shot_classification,wrist_max_angle,elbow_max_angle,knee_max_angle,is_wrist_max_angle,is_elbow_max_angle,is_knee_max_angle,wrist_max_angle_filtered_optimal_min,wrist_max_angle_filtered_optimal_max,elbow_max_angle_filtered_optimal_min,elbow_max_angle_filtered_optimal_max,knee_max_angle_filtered_optimal_min,knee_max_angle_filtered_optimal_max,wrist_max_angle_shot_classification,elbow_max_angle_shot_classification,knee_max_angle_shot_classification
T0001,0,7.15,12.76,40.9,5366,28.62,-0.53,4.48,27.67,-0.73,5.02,27.67,-0.58,5.03,27.74,-0.65,4.93,27.32,-0.9,4.89,27.3,-0.33,4.91,27.35,-1.15,4.33,27.15,-0.1,4.33,28.04,-1.29,3.67,27.78,0.17,3.77,28.4,-0.79,4.15,28.5,-0.18,4.2,26.84,-1.13,2.65,26.71,-0.38,2.67,27.65,-0.98,1.49,27.41,-0.09,1.48,27.1,-1.08,0.26,26.93,-0.21,0.28,28.43,-0.69,4.37,28.63,-0.78,4.38,28.6,-0.32,4.38,28.8,-0.25,4.33,27.61,-1.06,0.03,27.52,-1.18,0.03,27.38,-0.0,-0.0,27.2,0.11,0.02,26.95,-1.07,0.1,26.79,-0.28,0.14,7.32,-2.61,-0.61,6.82,0.01,-0.36,-0.08,0.93,-0.0,-0.0,0.01,0.27,0.26,0.23,0.36,1,1,4.33,0,0.03,-0.09,-0.02,0.23,0.09,0.09,0.76,0.85,0.68,0.73,2.58,3.63,5.09,4.53,5.73,7.12,5.47,6.34,100.66,26.98,59.62,1.91,6.27,67.85,62.96,11.54,15,51.42,3166,3166,0.0,0.0,0.03,0.03,0.02,0.02,0.09,0.12,0.17,0.15,0.19,0.18,0.23,0.21,1.44,47.68,0.64,47.68,0.0,0.83,0.69,0.83,0.0,1.75,0.83,1.75,0.01,1.61,0.67,1.61,0.0,1.88,0.69,1.88,0.0,1.65,0.64,1.65,0.0,1.75,0.64,1.75,0.0,2.82,0.56,2.82,0.0,3.48,0.57,3.48,0.0,4.26,0.61,4.26,0.0,5.1,0.64,5.1,0.0,4.87,0.63,4.87,0.0,6.11,0.68,6.11,0.0,5.14,0.63,5.14,0.0,6.44,0.68,6.44,0.0,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,0,0,0,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
T0001,0,7.15,12.76,40.9,5400,28.51,-0.56,4.71,27.66,-0.73,5.01,27.65,-0.58,5.02,27.73,-0.65,4.92,27.31,-0.91,4.89,27.29,-0.33,4.9,27.35,-1.14,4.33,27.15,-0.1,4.33,28.13,-1.27,3.77,27.84,0.17,3.85,28.37,-0.79,4.31,28.42,-0.17,4.37,26.86,-1.12,2.63,26.73,-0.38,2.65,27.68,-0.98,1.48,27.44,-0.08,1.47,27.1,-1.08,0.26,26.93,-0.21,0.28,28.35,-0.68,4.54,28.54,-0.79,4.6,28.49,-0.32,4.55,28.67,-0.24,4.57,27.62,-1.06,0.03,27.52,-1.18,0.03,27.38,0.0,-0.0,27.2,0.11,0.02,26.95,-1.08,0.1,26.79,-0.28,0.15,7.6,-3.41,-0.85,6.74,0.01,-0.45,-0.11,0.89,-0.0,-0.0,0.01,0.27,0.26,0.29,0.38,1,1,4.33,0,0.03,-0.12,-0.03,0.23,0.09,0.12,0.84,0.97,0.7,0.86,2.94,4.06,5.71,4.96,6.28,7.79,5.62,6.73,104.06,28.69,61.23,1.91,6.27,67.85,62.96,11.54,15,51.42,3200,3200,0.0,0.0,0.03,0.03,0.02,0.03,0.1,0.14,0.19,0.17,0.21,0.19,0.26,0.23,1.62,49.3,0.66,49.3,0.0,0.83,0.69,0.83,0.0,1.75,0.83,1.75,0.01,1.64,0.68,1.64,0.0,1.91,0.71,1.91,0.0,1.67,0.65,1.67,0.0,1.78,0.65,1.78,0.0,2.92,0.58,2.92,0.0,3.61,0.59,3.61,0.0,4.45,0.64,4.45,0.0,5.27,0.66,5.27,0.0,5.08,0.66,5.08,0.0,6.3,0.7,6.3,0.01,5.41,0.66,5.41,0.0,6.67,0.7,6.67,0.01,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,0,0,0,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
T0001,0,7.15,12.76,40.9,5433,28.36,-0.59,4.93,27.64,-0.72,5.01,27.63,-0.58,5.02,27.71,-0.65,4.92,27.3,-0.91,4.89,27.27,-0.33,4.91,27.34,-1.14,4.34,27.14,-0.11,4.34,28.2,-1.26,3.9,27.88,0.18,3.96,28.33,-0.79,4.49,28.31,-0.16,4.56,26.89,-1.11,2.62,26.75,-0.37,2.63,27.71,-0.97,1.46,27.46,-0.06,1.46,27.11,-1.08,0.26,26.93,-0.21,0.28,28.26,-0.69,4.71,28.43,-0.8,4.81,28.35,-0.32,4.74,28.51,-0.25,4.8,27.62,-1.06,0.03,27.53,-1.18,0.03,27.38,0.01,-0.0,27.2,0.11,0.02,26.95,-1.07,0.1,26.79,-0.28,0.15,8.07,-4.48,-1.0,6.64,0.01,-0.56,-0.12,0.82,-0.0,-0.0,0.01,0.26,0.24,0.33,0.39,1,1,4.34,0,0.03,-0.15,-0.03,0.22,0.16,0.15,0.83,1.05,0.79,0.97,3.52,4.48,6.57,5.57,7.11,8.54,5.87,7.23,106.18,30.69,62.73,1.91,6.27,67.85,62.96,11.54,15,51.42,3233,3233,0.01,0.01,0.03,0.03,0.03,0.03,0.12,0.15,0.22,0.18,0.23,0.19,0.28,0.24,1.74,51.04,0.69,51.04,0.0,0.84,0.7,0.84,0.0,1.76,0.83,1.76,0.01,1.67,0.69,1.67,0.0,1.94,0.72,1.94,0.0,1.7,0.66,1.7,0.0,1.81,0.66,1.81,0.0,3.04,0.6,3.04,0.0,3.76,0.62,3.76,0.0,4.67,0.67,4.67,0.0,5.45,0.68,5.45,0.0,5.32,0.69,5.32,0.0,6.49,0.72,6.49,0.01,5.69,0.69,5.69,0.0,6.91,0.73,6.91,0.01,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,0,0,0,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
T0001,0,7.15,12.76,40.9,5466,28.19,-0.62,5.14,27.63,-0.72,5.03,27.6,-0.58,5.03,27.68,-0.65,4.93,27.29,-0.92,4.92,27.25,-0.33,4.92,27.33,-1.14,4.36,27.13,-0.12,4.36,28.24,-1.25,4.05,27.9,0.18,4.09,28.29,-0.79,4.68,28.19,-0.16,4.76,26.92,-1.1,2.61,26.77,-0.36,2.63,27.74,-0.97,1.46,27.48,-0.06,1.45,27.11,-1.08,0.26,26.94,-0.21,0.28,28.17,-0.71,4.88,28.31,-0.8,5.01,28.2,-0.33,4.94,28.34,-0.27,5.03,27.62,-1.06,0.02,27.52,-1.18,0.03,27.38,0.01,-0.01,27.2,0.11,0.02,26.95,-1.07,0.1,26.79,-0.28,0.15,8.43,-5.18,-0.73,6.61,0.01,-0.61,-0.09,0.78,-0.01,-0.0,0.01,0.28,0.26,0.35,0.4,1,1,4.36,0,0.03,-0.17,-0.02,0.22,0.15,0.21,0.68,0.88,0.83,1.04,4.06,4.74,6.88,5.87,7.4,8.61,5.9,7.13,106.27,33.1,63.54,1.91,6.27,67.85,62.96,11.54,15,51.42,3266,3266,0.0,0.01,0.02,0.03,0.03,0.03,0.13,0.16,0.23,0.19,0.24,0.19,0.28,0.24,1.79,52.84,0.71,52.84,0.0,0.84,0.7,0.84,0.0,1.76,0.83,1.76,0.01,1.69,0.7,1.69,0.0,1.97,0.73,1.97,0.0,1.72,0.67,1.72,0.0,1.85,0.67,1.85,0.0,3.17,0.63,3.17,0.0,3.92,0.64,3.92,0.0,4.9,0.7,4.9,0.0,5.64,0.71,5.64,0.01,5.56,0.72,5.56,0.0,6.69,0.74,6.69,0.01,5.98,0.73,5.98,0.0,7.15,0.75,7.15,0.01,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,0,1,1,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
T0001,0,7.15,12.76,40.9,5500,28.01,-0.63,5.35,27.61,-0.72,5.06,27.57,-0.57,5.07,27.66,-0.64,4.97,27.28,-0.92,4.96,27.23,-0.33,4.96,27.32,-1.14,4.4,27.12,-0.14,4.39,28.25,-1.24,4.22,27.9,0.18,4.24,28.23,-0.8,4.87,28.08,-0.17,4.95,26.95,-1.09,2.62,26.8,-0.36,2.64,27.76,-0.97,1.46,27.49,-0.06,1.45,27.12,-1.08,0.27,26.94,-0.21,0.28,28.09,-0.72,5.06,28.19,-0.8,5.2,28.06,-0.34,5.13,28.18,-0.29,5.24,27.62,-1.06,0.02,27.52,-1.18,0.03,27.38,0.01,-0.01,27.2,0.12,0.02,26.95,-1.07,0.11,26.8,-0.28,0.15,8.08,-5.26,-0.41,6.12,0.01,-0.65,-0.05,0.76,-0.01,-0.0,0.01,0.32,0.29,0.37,0.4,1,1,4.4,0,0.03,-0.18,-0.01,0.21,0.15,0.23,0.36,0.6,0.98,1.11,4.47,4.92,6.67,5.91,7.07,7.95,5.85,6.59,104.51,35.02,63.36,1.91,6.27,67.85,62.96,11.54,15,51.42,3300,3300,0.01,0.01,0.01,0.02,0.03,0.04,0.15,0.17,0.23,0.2,0.24,0.2,0.27,0.22,1.8,54.63,0.74,54.63,0.01,0.85,0.71,0.85,0.0,1.77,0.84,1.77,0.01,1.7,0.71,1.7,0.0,1.99,0.74,1.99,0.0,1.76,0.68,1.76,0.0,1.89,0.68,1.89,0.0,3.32,0.66,3.32,0.0,4.09,0.67,4.09,0.0,5.12,0.73,5.12,0.0,5.84,0.73,5.84,0.01,5.8,0.75,5.8,0.0,6.88,0.76,6.88,0.01,6.25,0.76,6.25,0.01,7.37,0.78,7.37,0.01,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,0,0,0,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
T0001,0,7.15,12.76,40.9,5533,27.85,-0.64,5.55,27.58,-0.71,5.12,27.54,-0.57,5.12,27.63,-0.64,5.03,27.26,-0.92,5.03,27.2,-0.34,5.02,27.3,-1.14,4.46,27.1,-0.15,4.44,28.23,-1.24,4.39,27.88,0.18,4.41,28.16,-0.81,5.07,27.98,-0.18,5.15,26.99,-1.08,2.65,26.84,-0.35,2.67,27.76,-0.98,1.46,27.49,-0.06,1.46,27.12,-1.08,0.28,26.95,-0.21,0.29,28.0,-0.74,5.25,28.08,-0.8,5.39,27.93,-0.35,5.32,28.04,-0.3,5.45,27.61,-1.06,0.02,27.51,-1.19,0.03,27.38,0.02,-0.01,27.19,0.12,0.01,26.95,-1.07,0.11,26.8,-0.28,0.16,7.78,-4.91,-0.24,6.03,0.01,-0.63,-0.03,0.78,-0.0,-0.0,0.01,0.36,0.33,0.38,0.41,1,1,4.45,0,0.03,-0.16,-0.01,0.2,0.2,0.26,0.37,0.37,1.33,1.45,5.11,5.45,6.63,6.26,6.89,7.46,6.18,6.57,101.65,35.92,61.64,1.91,6.27,67.85,62.96,11.54,15,51.42,3333,3333,0.01,0.01,0.01,0.01,0.04,0.05,0.17,0.18,0.22,0.21,0.23,0.2,0.25,0.22,1.8,56.43,0.76,56.43,0.01,0.85,0.71,0.85,0.0,1.78,0.84,1.78,0.01,1.71,0.71,1.71,0.0,2.01,0.74,2.01,0.0,1.8,0.7,1.8,0.0,1.93,0.7,1.93,0.0,3.49,0.69,3.49,0.0,4.27,0.7,4.27,0.01,5.34,0.76,5.34,0.0,6.05,0.76,6.05,0.01,6.03,0.78,6.03,0.01,7.09,0.78,7.09,0.01,6.49,0.79,6.49,0.01,7.59,0.8,7.59,0.01,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,1,0,0,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
T0001,0,7.15,12.76,40.9,5566,27.71,-0.65,5.74,27.55,-0.71,5.21,27.5,-0.58,5.2,27.59,-0.64,5.11,27.23,-0.92,5.11,27.16,-0.34,5.1,27.28,-1.14,4.53,27.08,-0.16,4.51,28.2,-1.23,4.58,27.83,0.19,4.58,28.09,-0.82,5.27,27.9,-0.19,5.34,27.03,-1.07,2.7,26.87,-0.34,2.72,27.74,-0.99,1.48,27.47,-0.08,1.48,27.13,-1.08,0.29,26.95,-0.21,0.29,27.92,-0.75,5.44,28.0,-0.8,5.58,27.84,-0.35,5.51,27.94,-0.3,5.64,27.61,-1.06,0.02,27.51,-1.19,0.04,27.37,0.02,-0.02,27.19,0.12,0.01,26.96,-1.07,0.12,26.81,-0.28,0.16,6.94,-4.0,-0.3,5.67,0.01,-0.58,-0.04,0.82,-0.0,-0.0,0.01,0.38,0.36,0.4,0.43,1,1,4.52,0,0.03,-0.13,-0.01,0.19,0.26,0.35,0.93,0.86,1.74,1.9,5.4,5.73,6.26,6.4,6.37,6.63,6.31,6.42,98.19,34.7,58.23,1.91,6.27,67.85,62.96,11.54,15,51.42,3366,3366,0.01,0.01,0.03,0.03,0.06,0.06,0.18,0.19,0.21,0.21,0.21,0.21,0.22,0.21,1.83,58.27,0.78,58.27,0.01,0.86,0.72,0.86,0.0,1.79,0.85,1.79,0.01,1.74,0.72,1.74,0.0,2.03,0.75,2.03,0.0,1.86,0.72,1.86,0.0,2.0,0.72,2.0,0.0,3.67,0.73,3.67,0.01,4.46,0.73,4.46,0.01,5.55,0.79,5.55,0.01,6.26,0.79,6.26,0.01,6.24,0.81,6.24,0.01,7.3,0.81,7.3,0.01,6.71,0.82,6.71,0.01,7.8,0.82,7.8,0.01,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,0,0,0,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
T0001,0,7.15,12.76,40.9,5600,27.62,-0.66,5.91,27.51,-0.71,5.3,27.46,-0.58,5.3,27.56,-0.64,5.2,27.19,-0.92,5.2,27.13,-0.35,5.19,27.27,-1.13,4.61,27.05,-0.17,4.59,28.16,-1.23,4.77,27.78,0.19,4.76,28.02,-0.82,5.46,27.83,-0.19,5.52,27.06,-1.07,2.77,26.9,-0.34,2.78,27.71,-1.01,1.52,27.44,-0.1,1.51,27.13,-1.08,0.3,26.96,-0.21,0.31,27.86,-0.75,5.63,27.93,-0.8,5.78,27.77,-0.35,5.69,27.87,-0.29,5.82,27.6,-1.07,0.03,27.5,-1.2,0.04,27.36,0.03,-0.02,27.19,0.12,0.01,26.96,-1.07,0.13,26.82,-0.28,0.17,5.71,-2.91,-0.24,4.91,0.01,-0.51,-0.04,0.86,-0.0,-0.0,0.0,0.38,0.37,0.4,0.45,1,1,4.6,0,0.03,-0.1,-0.01,0.17,0.41,0.45,1.55,1.53,2.19,2.29,5.31,5.6,5.68,6.12,5.77,5.81,6.06,6.09,94.33,32.13,53.12,1.91,6.27,67.85,62.96,11.54,15,51.42,3400,3400,0.01,0.02,0.05,0.05,0.07,0.08,0.18,0.19,0.19,0.21,0.2,0.21,0.2,0.21,1.87,60.13,0.81,60.13,0.01,0.88,0.73,0.88,0.0,1.81,0.85,1.81,0.01,1.8,0.74,1.8,0.0,2.09,0.77,2.09,0.01,1.93,0.75,1.93,0.01,2.07,0.75,2.07,0.0,3.85,0.77,3.85,0.01,4.65,0.76,4.65,0.01,5.74,0.82,5.74,0.01,6.47,0.81,6.47,0.01,6.43,0.83,6.43,0.01,7.5,0.83,7.5,0.01,6.91,0.84,6.91,0.01,8.01,0.84,8.01,0.01,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,0,0,0,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
T0001,0,7.15,12.76,40.9,5633,27.54,-0.66,6.03,27.47,-0.71,5.41,27.42,-0.59,5.4,27.51,-0.65,5.31,27.15,-0.92,5.3,27.09,-0.35,5.28,27.25,-1.13,4.71,27.02,-0.18,4.68,28.12,-1.22,4.95,27.73,0.2,4.92,27.97,-0.82,5.66,27.78,-0.18,5.69,27.09,-1.07,2.86,26.92,-0.35,2.87,27.66,-1.03,1.57,27.39,-0.13,1.56,27.13,-1.09,0.32,26.97,-0.21,0.32,27.82,-0.74,5.83,27.91,-0.79,5.98,27.72,-0.34,5.87,27.83,-0.27,6.0,27.59,-1.07,0.03,27.49,-1.21,0.05,27.35,0.03,-0.02,27.19,0.13,0.01,26.97,-1.07,0.14,26.83,-0.27,0.19,4.41,-2.15,-0.18,3.85,0.01,-0.49,-0.04,0.87,-0.0,-0.0,0.01,0.35,0.39,0.4,0.49,1,1,4.7,0,0.03,-0.07,-0.01,0.13,0.62,0.6,2.19,2.17,2.6,2.79,5.29,5.7,5.4,6.08,5.62,5.51,6.1,6.11,89.2,29.48,46.75,1.91,6.27,67.85,62.96,11.54,15,51.42,3433,3433,0.02,0.02,0.07,0.07,0.09,0.09,0.17,0.19,0.18,0.2,0.19,0.2,0.18,0.2,1.87,62.01,0.83,62.01,0.01,0.9,0.75,0.9,0.0,1.83,0.86,1.83,0.01,1.87,0.77,1.87,0.0,2.16,0.8,2.16,0.01,2.02,0.78,2.02,0.01,2.17,0.79,2.17,0.01,4.02,0.8,4.02,0.01,4.83,0.79,4.83,0.01,5.92,0.85,5.92,0.01,6.67,0.84,6.67,0.01,6.62,0.86,6.62,0.01,7.7,0.85,7.7,0.01,7.09,0.87,7.09,0.01,8.21,0.87,8.21,0.01,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,0,0,0,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
T0001,0,7.15,12.76,40.9,5666,27.6,-0.67,6.3,27.42,-0.72,5.51,27.38,-0.59,5.51,27.47,-0.65,5.41,27.1,-0.92,5.39,27.05,-0.35,5.37,27.23,-1.12,4.81,26.98,-0.18,4.77,28.07,-1.2,5.13,27.68,0.2,5.08,27.96,-0.82,5.85,27.73,-0.18,5.84,27.12,-1.08,2.95,26.95,-0.36,2.96,27.6,-1.04,1.62,27.34,-0.16,1.61,27.14,-1.09,0.34,26.98,-0.2,0.34,27.81,-0.73,6.03,27.93,-0.79,6.18,27.67,-0.32,6.04,27.79,-0.23,6.16,27.58,-1.07,0.04,27.48,-1.21,0.06,27.36,0.02,-0.02,27.2,0.12,0.01,26.98,-1.07,0.16,26.85,-0.26,0.21,8.14,1.67,-0.21,7.97,0.01,0.2,-0.03,0.98,0.0,-0.0,0.01,0.35,0.37,0.45,0.5,1,1,4.79,0,0.03,0.05,-0.01,0.26,0.74,0.75,2.44,2.59,2.85,2.95,4.94,5.61,4.91,5.9,5.24,5.06,6.04,6.05,81.98,28.13,39.68,1.91,6.27,67.85,62.96,11.54,15,51.42,3466,3466,0.02,0.02,0.08,0.09,0.09,0.1,0.16,0.19,0.16,0.19,0.17,0.2,0.17,0.2,1.85,63.86,0.86,63.86,0.01,0.92,0.77,0.92,0.0,1.85,0.88,1.85,0.01,1.95,0.81,1.95,0.01,2.24,0.83,2.24,0.01,2.11,0.82,2.11,0.01,2.26,0.82,2.26,0.01,4.19,0.83,4.19,0.01,5.02,0.82,5.02,0.01,6.08,0.87,6.08,0.01,6.87,0.86,6.87,0.01,6.79,0.88,6.79,0.01,7.9,0.87,7.9,0.01,7.26,0.89,7.26,0.01,8.41,0.89,8.41,0.01,32.65,28.1,72.33,,,,,,,31.89,33.4,27.12,29.08,70.24,74.41,Good,Good,Good,35.92,106.27,63.54,0,0,0,37.89,39.19,103.08,105.02,61.42,62.39,Early,Late,Late
